ID	D55_130_T1_20180201	D55_130_T1_20181106	D55_PMN_130_T0_20180201	D55_PMN_130_T0_20181106	D55_PMN_130_T1_20180201	D55_PMN_130_T1_20181106	D60_130_T1_20180208	D60_130_T1_20181113	D60_PMN_130_T0_20180208	D60_PMN_130_T0_20181113	D60_PMN_130_T1_20180208	D60_PMN_130_T1_20181113	D6_130_T1_20180131	D6_130_T1_20181108	D6_PMN_130_T0_20180131	D6_PMN_130_T0_20181108	D6_PMN_130_T1_20180131	D6_PMN_130_T1_20181108	D55_H041_T1_20180201	D55_H041_T1_20190110	D55_PMN_H041_T0_20180201	D55_PMN_H041_T0_20190110	D55_PMN_H041_T1_20180201	D55_PMN_H041_T1_20190110	D60_H041_T1_20180208	D60_PMN_H041_T0_20180208	D60_PMN_H041_T0_20181212	D60_PMN_H041_T1_20180208	D60_PMN_H041_T1_20181212	D6_H041_T1_20180131	D6_PMN_H041_T0_20180131	D6_PMN_H041_T0_20190122	D6_PMN_H041_T1_20180131	D6_PMN_H041_T1_20190122
NGO_0372	34457	28465	46140	31509	8999	38492	11559	19288	73301	23831	41185	13853	18010	19890	35356	36716	23847	18284	34314	15116	44685	22768	4504	9037	13675	50191	25612	23410	13941	29447	35415	19578	8834	22604
NGO_0373	4202	4675	13610	5933	2384	7542	2065	2837	14288	5356	8556	1509	2473	3486	9190	8417	3704	3401	3417	1517	10767	3970	1279	1251	1648	10564	4951	4859	2128	2721	6612	3136	2072	2784
NGO_0374	8823	7317	26352	18947	3714	13425	4239	4902	34417	13856	17821	3167	4609	4665	16561	20735	6467	6716	6360	3288	18079	10427	2256	3216	3467	20970	9373	10088	4524	4772	11562	4907	2926	3664
NGO_0375	17316	8444	2504	1915	1638	2768	5565	6506	3927	2754	2182	1881	16766	7403	2362	2672	1515	2606	27593	10834	1272	2528	402	4075	10478	2754	2067	1168	6875	26246	1719	1827	453	4546
NGO_0376	12372	9452	2835	1371	1801	3382	6444	10669	10602	3397	2776	911	14354	4730	2822	3979	2136	3689	14355	13528	2352	5545	872	5644	11201	5739	3020	2321	6834	18416	3163	2988	1069	4437
NGO_0377	6401	3155	986	568	593	610	1775	2914	939	619	736	603	3747	2876	724	873	389	484	5933	4290	1335	1266	409	950	4329	1815	1383	856	1669	6195	877	1037	612	1068
NGO_0378	106	175	174	117	76	66	118	121	263	129	170	73	164	122	149	130	63	41	249	262	260	229	48	142	255	439	233	169	242	291	136	235	78	224
NGO_0379	2174	1617	984	583	495	495	772	1385	657	506	525	280	1975	823	554	692	449	372	1647	1199	739	616	183	418	934	799	553	418	693	1980	516	398	269	458
NGO_0380	80	105	140	111	64	67	158	140	148	70	147	63	108	101	133	80	48	47	132	125	89	49	31	44	127	189	71	106	75	136	46	124	43	137
NGO_0381	935	1401	527	307	272	629	706	1157	542	497	539	354	972	721	398	508	330	316	1123	860	432	521	81	343	739	826	473	327	431	1193	404	426	109	391
