"D55_H041_T1_20180201"	"D55_H041_T1_20190110"	"D55_PMN_H041_T0_20180201"	"D55_PMN_H041_T0_20190110"	"D55_PMN_H041_T1_20180201"	"D55_PMN_H041_T1_20190110"	"D60_H041_T1_20180208"	"D60_PMN_H041_T0_20180208"	"D60_PMN_H041_T0_20181212"	"D60_PMN_H041_T1_20180208"	"D60_PMN_H041_T1_20181212"	"D6_H041_T1_20180131"	"D6_PMN_H041_T0_20180131"	"D6_PMN_H041_T0_20190122"	"D6_PMN_H041_T1_20180131"	"D6_PMN_H041_T1_20190122"
"F9Z36_0001.p01"	5.61830232873603	5.3020779491244	6.26766878689206	5.98981696745676	6.15439620504929	5.50405644441361	5.36125607716107	5.96945885816696	6.23965047308737	6.30228931491969	5.82100279059089	5.3216424142711	6.11002154728225	5.44572966435529	5.73361180324772	5.86163722994643
"F9Z36_0002.p01"	7.28411346650749	7.76643787160966	9.16066954188936	8.98163445240645	8.16166904993611	8.45493025882986	6.9230112045712	8.62753583063875	8.86141240200877	8.11272149288868	8.05805955665394	6.57934811079963	9.2421001033638	8.88480793665663	8.30242925311492	8.65685844398401
"F9Z36_0003.p01"	6.32929799389378	6.7125825638284	8.06585698089535	7.41892165050387	6.73522164072001	7.24286440900245	6.18740901908303	7.18270093141338	7.55447667411423	6.73741728703935	6.6127260479428	5.81101541776278	8.25682135743512	7.79612351954793	7.30358050859025	7.52663424409425
"F9Z36_0004.p01"	8.67443595373951	8.93951447546326	9.12499255972915	9.02249464569456	8.73710553723125	8.52269290659588	8.28272700882581	8.39038164527115	8.98656486749909	8.13665388179118	7.72884927128644	8.35978848910564	9.42083531876358	8.91142632683915	8.36732017375946	8.53239914990543
"F9Z36_0005.p01"	10.844031562344	11.6703916518892	10.725515561926	10.4933545897387	10.894271642114	10.6873728983306	10.8276760066442	10.4254840072878	10.7368873139237	10.9735286151632	10.7172553799691	11.0546796873028	10.4203359309757	10.5674682057937	10.8297513936154	10.1751767849893
"F9Z36_0006.p01"	11.3491671164811	11.4680346132844	11.5907410429532	11.1774632357414	11.5997333839735	11.0638453461103	11.4485124311063	11.1660083406553	11.8298272281444	11.2938094885115	11.3854748667391	11.3666535548858	11.4654516515049	11.3141724317037	11.5109946030917	11.161764168629
"F9Z36_0007.p01"	11.9647726720291	11.7864700576945	12.0204189850983	11.5821025604189	11.8770167329463	11.4037304203853	11.892564083777	11.6624837319349	11.9626951794395	11.7512647197004	11.5907689291347	11.8822229225118	11.9210532310182	11.5891569866369	11.8540038436387	11.4987143381342
"F9Z36_0008.p01"	9.07266907391636	9.09566740649028	9.96949159735686	9.61500964159737	9.57799180941002	9.30304310604808	9.46736550087718	9.93827163072862	9.88434344219575	9.60323436869858	9.40254319907894	8.9878609006415	9.63273856902207	9.60424450987129	9.44735420759956	9.73746691022139
"F9Z36_0009.p01"	9.07354708227171	8.84909537064031	9.13459330434601	8.77708064034832	9.06021731765864	8.80238674133784	8.89772540089855	8.91502995425602	9.26861774257298	8.89751167804023	9.02348696852192	8.85622645011855	9.12682416056903	8.87807552483472	8.71481643514947	9.46033216220211
"F9Z36_0010.p01"	9.35991070088715	8.87987200905484	9.68617617690725	9.46118809555101	9.32385562180808	9.52520201082522	8.79974002691598	9.29395553167286	9.90190071699916	8.97443787670229	9.70070977755228	9.31944279415483	9.87712711417212	10.119290269752	9.55114826292241	9.96670133073338
"F9Z36_0011.p01"	8.90518843484931	8.41668216066215	9.28439821244573	9.637954978611	8.85735623597159	9.49748818441201	8.62067953347774	9.51250786504126	10.0595322853728	9.08057148402766	9.72272053317518	8.24592367165295	9.65209636279431	9.80185634321072	8.83870764937918	10.3019589838949
"F9Z36_0012.p01"	9.9336835381982	9.52434627073131	9.6228378735981	9.50024816534706	9.16740942527596	9.39905917119858	9.37524575089643	9.68524205126872	9.7707841297105	9.19838217850477	9.48030296456187	8.91661113591517	9.87712711417212	9.61439179015515	8.93578430617899	10.1495158205044
"F9Z36_0013.p01"	10.0103284507233	9.58594295743248	9.63133271674396	9.56431117278025	9.82042845445456	9.92526296990971	9.99951066090043	9.8567455565229	8.89373768298622	9.59753100813472	9.44478941602312	10.3975189003787	9.33290807541856	9.62044601806088	9.89146011331178	9.68576665050555
"F9Z36_0014.p01"	10.7770003702755	10.3830398567595	9.44148431292262	9.81564353509278	9.5306271557244	10.0256488048907	10.9101053539048	10.0369940786087	9.80512292557122	9.98151806312953	10.0331243525428	11.0409461011686	9.82881037561541	9.47209144106313	9.66348258348057	9.90021966892048
"F9Z36_0015.p01"	12.1343852205162	11.8075255972586	12.0425441291555	13.032613720872	12.4760715323469	12.695020881042	11.5001559475282	12.5767927193391	12.3847258511048	12.4388582106606	12.4895477697024	12.6203270643561	12.4696595854236	12.3764666179856	12.4910638723522	12.2790111799125
"F9Z36_0016.p01"	7.2716771113358	7.37186779778958	8.39750072564324	7.17469339632511	8.11936490684297	7.143831888817	8.04581621657025	8.3563347753066	8.00602737000193	8.82603523077353	7.31535355468335	7.36248873039339	7.81702309166212	8.53257947376269	8.10326242168146	9.08577256483743
"F9Z36_0017.p01"	11.4629118252222	11.2596201556961	11.9992614130496	11.6303919011552	11.7791738292407	11.6181793382189	11.31121715764	11.6645045730059	12.4130933830998	11.9171490827104	12.0173261389778	11.5052370491772	12.0136881238021	11.9025963716318	11.8983739522335	12.3122460362595
"F9Z36_0018.p01"	9.46729407002204	9.47783351356413	9.23394534192969	8.66444271350626	9.14660077136845	8.66935013734064	9.95386120577359	9.51250786504126	9.42703114500633	9.99675905761275	9.01074911011789	9.48947816225115	8.83431381633372	10.0905140892812	9.66348258348057	10.5758058820091
"F9Z36_0019.p01"	12.577730842469	11.8698088164101	11.5018821450472	12.2986494724551	11.677833425396	12.272087147236	12.641361369918	12.5130182612857	12.5809383552802	12.2829396664651	12.4203354982459	12.086407477695	12.122851992604	12.56547952572	11.210223023067	13.0947340243802
"F9Z36_0020.p01"	14.2852987012626	13.7377677227516	12.9526317161756	13.4759788993348	13.2445103271247	13.4836429935758	14.2789761997314	13.4691709884562	13.6864937995965	13.5359597948243	13.7346204196923	14.104980074197	13.4592901861678	13.4403434275913	13.0784997506098	13.8039155858686
"F9Z36_0021.p01"	11.1056966965865	10.6320260264139	11.0056968733431	11.1846683299437	11.0109512544941	11.3287215324254	10.9152499616773	11.0546224310803	10.855447036868	11.0232646894829	11.0330034585502	11.1627655317961	11.1011453911413	10.3382593588391	11.1454239619652	10.665237550636
"F9Z36_0022.p01"	12.3312648127957	12.37255694918	12.6519216485336	12.3777866667211	12.7055735060744	12.4616924713968	12.2636869050036	12.4657930446796	12.7617354294955	12.6313702088368	12.5779560324437	12.2809432869779	12.9154644017129	12.2199357122909	12.7387159239573	12.5368789475058
"F9Z36_0023.p01"	10.5410267148175	10.5812694866867	10.2553254265694	10.6156945930024	10.6355706088953	10.9158475646848	10.7554534982312	10.5062720901126	10.8029155503637	10.7820499688909	10.9428440695932	10.470277329293	10.6956927669009	10.6476674659068	10.5499282189013	11.1073982182797
"F9Z36_0024.p01"	7.22401641315614	6.77027909374388	8.20056893362623	7.59771776265692	7.98433592561738	6.77522706857188	7.44723922852357	8.06420804522209	7.42589432204783	8.46077052653533	6.84673488611913	6.69775803148921	7.96312520973339	7.56158989127967	7.45657655661661	7.14687957723141
